"id","label","prediction_top","confidence_top","predictions_all","ID","Species"
"ASG00001b9","species","zebra","0.2874","{'aardvark': '0.0001', 'aardwolf': '0.0006', 'baboon': '0.0000', 'bat': '0.0000', 'batearedfox': '0.0002', 'buffalo': '0.0001', 'bushbuck': '0.0005', 'bushpig': '0.0001', 'caracal': '0.0021', 'cattle': '0.0001', 'cheetah': '0.0406', 'civet': '0.0003', 'dikdik': '0.0029', 'duiker': '0.0015', 'eland': '0.0096', 'elephant': '0.0003', 'fire': '0.0000', 'gazellegrants': '0.1785', 'gazellethomsons': '0.2851', 'genet': '0.0002', 'giraffe': '0.0006', 'guineafowl': '0.0000', 'hare': '0.0000', 'hartebeest': '0.0420', 'hippopotamus': '0.0000', 'honeybadger': '0.0001', 'human': '0.0000', 'hyenabrown': '0.0000', 'hyenaspotted': '0.0489', 'hyenastriped': '0.0034', 'impala': '0.0091', 'insectspider': '0.0000', 'jackal': '0.0018', 'koribustard': '0.0011', 'kudu': '0.0002', 'leopard': '0.0019', 'lionfemale': '0.0316', 'lionmale': '0.0085', 'mongoose': '0.0001', 'monkeysamango': '0.0000', 'nyala': '0.0000', 'ostrich': '0.0079', 'otherbird': '0.0006', 'porcupine': '0.0000', 'reedbuck': '0.0115', 'reptiles': '0.0000', 'rhinoceros': '0.0003', 'rodents': '0.0003', 'sable': '0.0004', 'secretarybird': '0.0002', 'serval': '0.0003', 'steenbok': '0.0000', 'topi': '0.0150', 'vervetmonkey': '0.0002', 'vulture': '0.0001', 'warthog': '0.0002', 'waterbuck': '0.0020', 'wildcat': '0.0005', 'wilddog': '0.0000', 'wildebeest': '0.0009', 'zebra': '0.2874', 'zorilla': '0.0001'}","16401","cheetah"
"ASG00001b9","count","1","0.9446","{'1': '0.9446', '10': '0.0000', '11-50': '0.0000', '2': '0.0505', '3': '0.0036', '4': '0.0008', '5': '0.0002', '51+': '0.0000', '6': '0.0001', '7': '0.0000', '8': '0.0000', '9': '0.0000'}","16401","cheetah"
"ASG00001b9","standing","0","0.9907","{'0': '0.9907', '1': '0.0093'}","16401","cheetah"
"ASG00001b9","resting","0","1.0000","{'0': '1.0000', '1': '0.0000'}","16401","cheetah"
"ASG00001b9","moving","1","0.9964","{'0': '0.0036', '1': '0.9964'}","16401","cheetah"
"ASG00001b9","eating","0","0.9910","{'0': '0.9910', '1': '0.0090'}","16401","cheetah"
"ASG00001b9","interacting","0","0.9999","{'0': '0.9999', '1': '0.0001'}","16401","cheetah"
"ASG00001b9","babies","0","0.9969","{'0': '0.9969', '1': '0.0031'}","16401","cheetah"
"ASG00001by","species","cheetah","0.9139","{'aardvark': '0.0000', 'aardwolf': '0.0000', 'baboon': '0.0000', 'bat': '0.0000', 'batearedfox': '0.0000', 'buffalo': '0.0000', 'bushbuck': '0.0000', 'bushpig': '0.0000', 'caracal': '0.0000', 'cattle': '0.0000', 'cheetah': '0.9139', 'civet': '0.0000', 'dikdik': '0.0000', 'duiker': '0.0000', 'eland': '0.0000', 'elephant': '0.0001', 'fire': '0.0000', 'gazellegrants': '0.0000', 'gazellethomsons': '0.0000', 'genet': '0.0000', 'giraffe': '0.0000', 'guineafowl': '0.0009', 'hare': '0.0000', 'hartebeest': '0.0000', 'hippopotamus': '0.0000', 'honeybadger': '0.0000', 'human': '0.0001', 'hyenabrown': '0.0000', 'hyenaspotted': '0.0003', 'hyenastriped': '0.0000', 'impala': '0.0000', 'insectspider': '0.0000', 'jackal': '0.0000', 'koribustard': '0.0574', 'kudu': '0.0000', 'leopard': '0.0059', 'lionfemale': '0.0045', 'lionmale': '0.0017', 'mongoose': '0.0000', 'monkeysamango': '0.0000', 'nyala': '0.0000', 'ostrich': '0.0014', 'otherbird': '0.0116', 'porcupine': '0.0000', 'reedbuck': '0.0000', 'reptiles': '0.0005', 'rhinoceros': '0.0000', 'rodents': '0.0000', 'sable': '0.0000', 'secretarybird': '0.0010', 'serval': '0.0002', 'steenbok': '0.0000', 'topi': '0.0000', 'vervetmonkey': '0.0000', 'vulture': '0.0000', 'warthog': '0.0001', 'waterbuck': '0.0000', 'wildcat': '0.0000', 'wilddog': '0.0000', 'wildebeest': '0.0000', 'zebra': '0.0004', 'zorilla': '0.0000'}","16402","cheetah"
"ASG00001by","count","1","0.9351","{'1': '0.9351', '10': '0.0000', '11-50': '0.0000', '2': '0.0549', '3': '0.0082', '4': '0.0012', '5': '0.0004', '51+': '0.0000', '6': '0.0002', '7': '0.0000', '8': '0.0000', '9': '0.0000'}","16402","cheetah"
"ASG00001by","standing","0","0.6669","{'0': '0.6669', '1': '0.3331'}","16402","cheetah"
"ASG00001by","resting","0","0.9397","{'0': '0.9397', '1': '0.0603'}","16402","cheetah"
"ASG00001by","moving","0","0.5364","{'0': '0.5364', '1': '0.4636'}","16402","cheetah"
"ASG00001by","eating","0","0.9625","{'0': '0.9625', '1': '0.0375'}","16402","cheetah"
"ASG00001by","interacting","0","0.9976","{'0': '0.9976', '1': '0.0024'}","16402","cheetah"
"ASG00001by","babies","0","0.9983","{'0': '0.9983', '1': '0.0017'}","16402","cheetah"
"ASG00001c0","species","cheetah","0.4032","{'aardvark': '0.0001', 'aardwolf': '0.0097', 'baboon': '0.0077', 'bat': '0.0000', 'batearedfox': '0.0059', 'buffalo': '0.0000', 'bushbuck': '0.0000', 'bushpig': '0.0000', 'caracal': '0.0024', 'cattle': '0.0000', 'cheetah': '0.4032', 'civet': '0.0002', 'dikdik': '0.0104', 'duiker': '0.0001', 'eland': '0.0000', 'elephant': '0.0002', 'fire': '0.0000', 'gazellegrants': '0.0015', 'gazellethomsons': '0.0302', 'genet': '0.0002', 'giraffe': '0.0021', 'guineafowl': '0.0001', 'hare': '0.0002', 'hartebeest': '0.0001', 'hippopotamus': '0.0000', 'honeybadger': '0.0010', 'human': '0.0000', 'hyenabrown': '0.0000', 'hyenaspotted': '0.3061', 'hyenastriped': '0.0325', 'impala': '0.0001', 'insectspider': '0.0000', 'jackal': '0.0153', 'koribustard': '0.0001', 'kudu': '0.0000', 'leopard': '0.0095', 'lionfemale': '0.0017', 'lionmale': '0.0013', 'mongoose': '0.0004', 'monkeysamango': '0.0000', 'nyala': '0.0000', 'ostrich': '0.0000', 'otherbird': '0.0003', 'porcupine': '0.0011', 'reedbuck': '0.0015', 'reptiles': '0.0000', 'rhinoceros': '0.0001', 'rodents': '0.0002', 'sable': '0.0000', 'secretarybird': '0.0000', 'serval': '0.1493', 'steenbok': '0.0000', 'topi': '0.0000', 'vervetmonkey': '0.0004', 'vulture': '0.0001', 'warthog': '0.0008', 'waterbuck': '0.0008', 'wildcat': '0.0015', 'wilddog': '0.0000', 'wildebeest': '0.0009', 'zebra': '0.0005', 'zorilla': '0.0001'}","16403","cheetah"
"ASG00001c0","count","1","0.9872","{'1': '0.9872', '10': '0.0000', '11-50': '0.0000', '2': '0.0117', '3': '0.0009', '4': '0.0002', '5': '0.0000', '51+': '0.0000', '6': '0.0000', '7': '0.0000', '8': '0.0000', '9': '0.0000'}","16403","cheetah"
"ASG00001c0","standing","1","0.8774","{'0': '0.1226', '1': '0.8774'}","16403","cheetah"
"ASG00001c0","resting","0","0.9963","{'0': '0.9963', '1': '0.0037'}","16403","cheetah"
"ASG00001c0","moving","0","0.9314","{'0': '0.9314', '1': '0.0686'}","16403","cheetah"
"ASG00001c0","eating","0","0.9963","{'0': '0.9963', '1': '0.0037'}","16403","cheetah"
"ASG00001c0","interacting","0","0.9964","{'0': '0.9964', '1': '0.0036'}","16403","cheetah"
"ASG00001c0","babies","0","0.9993","{'0': '0.9993', '1': '0.0007'}","16403","cheetah"
"ASG00001c2","species","cheetah","0.9989","{'aardvark': '0.0000', 'aardwolf': '0.0000', 'baboon': '0.0000', 'bat': '0.0000', 'batearedfox': '0.0000', 'buffalo': '0.0000', 'bushbuck': '0.0000', 'bushpig': '0.0000', 'caracal': '0.0000', 'cattle': '0.0000', 'cheetah': '0.9989', 'civet': '0.0000', 'dikdik': '0.0000', 'duiker': '0.0000', 'eland': '0.0000', 'elephant': '0.0000', 'fire': '0.0000', 'gazellegrants': '0.0000', 'gazellethomsons': '0.0000', 'genet': '0.0000', 'giraffe': '0.0000', 'guineafowl': '0.0000', 'hare': '0.0000', 'hartebeest': '0.0000', 'hippopotamus': '0.0000', 'honeybadger': '0.0000', 'human': '0.0000', 'hyenabrown': '0.0000', 'hyenaspotted': '0.0000', 'hyenastriped': '0.0000', 'impala': '0.0000', 'insectspider': '0.0000', 'jackal': '0.0000', 'koribustard': '0.0000', 'kudu': '0.0000', 'leopard': '0.0002', 'lionfemale': '0.0000', 'lionmale': '0.0000', 'mongoose': '0.0000', 'monkeysamango': '0.0000', 'nyala': '0.0000', 'ostrich': '0.0000', 'otherbird': '0.0000', 'porcupine': '0.0000', 'reedbuck': '0.0000', 'reptiles': '0.0000', 'rhinoceros': '0.0000', 'rodents': '0.0000', 'sable': '0.0000', 'secretarybird': '0.0000', 'serval': '0.0009', 'steenbok': '0.0000', 'topi': '0.0000', 'vervetmonkey': '0.0000', 'vulture': '0.0000', 'warthog': '0.0000', 'waterbuck': '0.0000', 'wildcat': '0.0000', 'wilddog': '0.0000', 'wildebeest': '0.0000', 'zebra': '0.0000', 'zorilla': '0.0000'}","16404","cheetah"
"ASG00001c2","count","1","0.9981","{'1': '0.9981', '10': '0.0000', '11-50': '0.0000', '2': '0.0018', '3': '0.0001', '4': '0.0000', '5': '0.0000', '51+': '0.0000', '6': '0.0000', '7': '0.0000', '8': '0.0000', '9': '0.0000'}","16404","cheetah"
"ASG00001c2","standing","1","0.8513","{'0': '0.1487', '1': '0.8513'}","16404","cheetah"
"ASG00001c2","resting","0","0.9420","{'0': '0.9420', '1': '0.0580'}","16404","cheetah"
"ASG00001c2","moving","0","0.9669","{'0': '0.9669', '1': '0.0331'}","16404","cheetah"
"ASG00001c2","eating","0","0.9999","{'0': '0.9999', '1': '0.0001'}","16404","cheetah"
"ASG00001c2","interacting","0","0.9980","{'0': '0.9980', '1': '0.0020'}","16404","cheetah"
"ASG00001c2","babies","0","0.9978","{'0': '0.9978', '1': '0.0022'}","16404","cheetah"
"ASG0000272","species","porcupine","0.2760","{'aardvark': '0.0052', 'aardwolf': '0.0062', 'baboon': '0.0001', 'bat': '0.0000', 'batearedfox': '0.0425', 'buffalo': '0.0026', 'bushbuck': '0.0001', 'bushpig': '0.0092', 'caracal': '0.0052', 'cattle': '0.0001', 'cheetah': '0.0040', 'civet': '0.0625', 'dikdik': '0.0042', 'duiker': '0.0028', 'eland': '0.0004', 'elephant': '0.0669', 'fire': '0.0000', 'gazellegrants': '0.0008', 'gazellethomsons': '0.0041', 'genet': '0.0590', 'giraffe': '0.0022', 'guineafowl': '0.0005', 'hare': '0.0458', 'hartebeest': '0.0002', 'hippopotamus': '0.0106', 'honeybadger': '0.0133', 'human': '0.0003', 'hyenabrown': '0.0000', 'hyenaspotted': '0.1092', 'hyenastriped': '0.0097', 'impala': '0.0003', 'insectspider': '0.0000', 'jackal': '0.0334', 'koribustard': '0.0047', 'kudu': '0.0002', 'leopard': '0.0638', 'lionfemale': '0.0011', 'lionmale': '0.0011', 'mongoose': '0.0428', 'monkeysamango': '0.0002', 'nyala': '0.0000', 'ostrich': '0.0002', 'otherbird': '0.0131', 'porcupine': '0.2760', 'reedbuck': '0.0014', 'reptiles': '0.0006', 'rhinoceros': '0.0004', 'rodents': '0.0426', 'sable': '0.0014', 'secretarybird': '0.0000', 'serval': '0.0156', 'steenbok': '0.0001', 'topi': '0.0000', 'vervetmonkey': '0.0003', 'vulture': '0.0003', 'warthog': '0.0035', 'waterbuck': '0.0001', 'wildcat': '0.0119', 'wilddog': '0.0000', 'wildebeest': '0.0003', 'zebra': '0.0111', 'zorilla': '0.0055'}","16405","cheetah"
"ASG0000272","count","1","0.9853","{'1': '0.9853', '10': '0.0000', '11-50': '0.0000', '2': '0.0137', '3': '0.0007', '4': '0.0001', '5': '0.0000', '51+': '0.0000', '6': '0.0000', '7': '0.0000', '8': '0.0000', '9': '0.0000'}","16405","cheetah"
"ASG0000272","standing","0","0.8909","{'0': '0.8909', '1': '0.1091'}","16405","cheetah"
"ASG0000272","resting","0","0.9986","{'0': '0.9986', '1': '0.0014'}","16405","cheetah"
"ASG0000272","moving","1","0.8340","{'0': '0.1660', '1': '0.8340'}","16405","cheetah"
"ASG0000272","eating","0","0.9465","{'0': '0.9465', '1': '0.0535'}","16405","cheetah"
"ASG0000272","interacting","0","0.9998","{'0': '0.9998', '1': '0.0002'}","16405","cheetah"
"ASG0000272","babies","0","0.9962","{'0': '0.9962', '1': '0.0038'}","16405","cheetah"
"ASG0002un3","species","gazellethomsons","0.5145","{'aardvark': '0.0015', 'aardwolf': '0.0139', 'baboon': '0.0000', 'bat': '0.0000', 'batearedfox': '0.0062', 'buffalo': '0.0000', 'bushbuck': '0.0001', 'bushpig': '0.0000', 'caracal': '0.0176', 'cattle': '0.0000', 'cheetah': '0.0485', 'civet': '0.0004', 'dikdik': '0.0275', 'duiker': '0.0020', 'eland': '0.0001', 'elephant': '0.0000', 'fire': '0.0000', 'gazellegrants': '0.0504', 'gazellethomsons': '0.5145', 'genet': '0.0002', 'giraffe': '0.0000', 'guineafowl': '0.0000', 'hare': '0.0003', 'hartebeest': '0.0006', 'hippopotamus': '0.0000', 'honeybadger': '0.0005', 'human': '0.0000', 'hyenabrown': '0.0000', 'hyenaspotted': '0.0406', 'hyenastriped': '0.0193', 'impala': '0.0003', 'insectspider': '0.0000', 'jackal': '0.0126', 'koribustard': '0.0002', 'kudu': '0.0000', 'leopard': '0.0021', 'lionfemale': '0.2058', 'lionmale': '0.0065', 'mongoose': '0.0004', 'monkeysamango': '0.0000', 'nyala': '0.0000', 'ostrich': '0.0000', 'otherbird': '0.0001', 'porcupine': '0.0000', 'reedbuck': '0.0206', 'reptiles': '0.0000', 'rhinoceros': '0.0001', 'rodents': '0.0006', 'sable': '0.0000', 'secretarybird': '0.0000', 'serval': '0.0022', 'steenbok': '0.0000', 'topi': '0.0002', 'vervetmonkey': '0.0004', 'vulture': '0.0000', 'warthog': '0.0015', 'waterbuck': '0.0000', 'wildcat': '0.0011', 'wilddog': '0.0000', 'wildebeest': '0.0002', 'zebra': '0.0004', 'zorilla': '0.0002'}","16406","cheetah"
"ASG0002un3","count","1","0.5401","{'1': '0.5401', '10': '0.0000', '11-50': '0.0000', '2': '0.4184', '3': '0.0374', '4': '0.0035', '5': '0.0004', '51+': '0.0000', '6': '0.0001', '7': '0.0000', '8': '0.0000', '9': '0.0000'}","16406","cheetah"
"ASG0002un3","standing","0","0.9645","{'0': '0.9645', '1': '0.0355'}","16406","cheetah"
"ASG0002un3","resting","0","0.9994","{'0': '0.9994', '1': '0.0006'}","16406","cheetah"
"ASG0002un3","moving","1","0.9792","{'0': '0.0208', '1': '0.9792'}","16406","cheetah"
"ASG0002un3","eating","0","0.9621","{'0': '0.9621', '1': '0.0379'}","16406","cheetah"
"ASG0002un3","interacting","0","0.9985","{'0': '0.9985', '1': '0.0015'}","16406","cheetah"
"ASG0002un3","babies","0","0.9871","{'0': '0.9871', '1': '0.0129'}","16406","cheetah"
"ASG0000517","species","hyenaspotted","0.4040","{'aardvark': '0.0028', 'aardwolf': '0.0087', 'baboon': '0.0003', 'bat': '0.0000', 'batearedfox': '0.0094', 'buffalo': '0.0013', 'bushbuck': '0.0004', 'bushpig': '0.0007', 'caracal': '0.0138', 'cattle': '0.0002', 'cheetah': '0.0913', 'civet': '0.0022', 'dikdik': '0.0420', 'duiker': '0.0034', 'eland': '0.0031', 'elephant': '0.0008', 'fire': '0.0000', 'gazellegrants': '0.0124', 'gazellethomsons': '0.0277', 'genet': '0.0012', 'giraffe': '0.0003', 'guineafowl': '0.0020', 'hare': '0.0007', 'hartebeest': '0.0020', 'hippopotamus': '0.0039', 'honeybadger': '0.0026', 'human': '0.0000', 'hyenabrown': '0.0000', 'hyenaspotted': '0.4040', 'hyenastriped': '0.0171', 'impala': '0.0008', 'insectspider': '0.0000', 'jackal': '0.0085', 'koribustard': '0.0003', 'kudu': '0.0001', 'leopard': '0.0179', 'lionfemale': '0.1417', 'lionmale': '0.0104', 'mongoose': '0.0020', 'monkeysamango': '0.0001', 'nyala': '0.0000', 'ostrich': '0.0003', 'otherbird': '0.0010', 'porcupine': '0.0014', 'reedbuck': '0.0381', 'reptiles': '0.0001', 'rhinoceros': '0.0006', 'rodents': '0.0012', 'sable': '0.0004', 'secretarybird': '0.0000', 'serval': '0.0032', 'steenbok': '0.0001', 'topi': '0.0004', 'vervetmonkey': '0.0008', 'vulture': '0.0002', 'warthog': '0.0102', 'waterbuck': '0.0003', 'wildcat': '0.0028', 'wilddog': '0.0000', 'wildebeest': '0.0219', 'zebra': '0.0797', 'zorilla': '0.0009'}","16407","cheetah"
"ASG0000517","count","2","0.4082","{'1': '0.0666', '10': '0.0004', '11-50': '0.0008', '2': '0.4082', '3': '0.3350', '4': '0.1393', '5': '0.0318', '51+': '0.0000', '6': '0.0130', '7': '0.0032', '8': '0.0011', '9': '0.0006'}","16407","cheetah"
"ASG0000517","standing","0","0.8947","{'0': '0.8947', '1': '0.1053'}","16407","cheetah"
"ASG0000517","resting","0","0.9977","{'0': '0.9977', '1': '0.0023'}","16407","cheetah"
"ASG0000517","moving","1","0.9137","{'0': '0.0863', '1': '0.9137'}","16407","cheetah"
"ASG0000517","eating","0","0.8243","{'0': '0.8243', '1': '0.1757'}","16407","cheetah"
"ASG0000517","interacting","0","0.9983","{'0': '0.9983', '1': '0.0017'}","16407","cheetah"
"ASG0000517","babies","0","0.8981","{'0': '0.8981', '1': '0.1019'}","16407","cheetah"
"ASG000085p","species","cheetah","0.9030","{'aardvark': '0.0000', 'aardwolf': '0.0000', 'baboon': '0.0000', 'bat': '0.0000', 'batearedfox': '0.0000', 'buffalo': '0.0000', 'bushbuck': '0.0000', 'bushpig': '0.0000', 'caracal': '0.0000', 'cattle': '0.0000', 'cheetah': '0.9030', 'civet': '0.0000', 'dikdik': '0.0000', 'duiker': '0.0000', 'eland': '0.0000', 'elephant': '0.0001', 'fire': '0.0000', 'gazellegrants': '0.0000', 'gazellethomsons': '0.0000', 'genet': '0.0000', 'giraffe': '0.0144', 'guineafowl': '0.0000', 'hare': '0.0000', 'hartebeest': '0.0000', 'hippopotamus': '0.0000', 'honeybadger': '0.0000', 'human': '0.0000', 'hyenabrown': '0.0000', 'hyenaspotted': '0.0000', 'hyenastriped': '0.0000', 'impala': '0.0000', 'insectspider': '0.0000', 'jackal': '0.0000', 'koribustard': '0.0004', 'kudu': '0.0000', 'leopard': '0.0793', 'lionfemale': '0.0000', 'lionmale': '0.0000', 'mongoose': '0.0000', 'monkeysamango': '0.0000', 'nyala': '0.0000', 'ostrich': '0.0000', 'otherbird': '0.0003', 'porcupine': '0.0004', 'reedbuck': '0.0000', 'reptiles': '0.0002', 'rhinoceros': '0.0000', 'rodents': '0.0000', 'sable': '0.0000', 'secretarybird': '0.0000', 'serval': '0.0016', 'steenbok': '0.0000', 'topi': '0.0000', 'vervetmonkey': '0.0000', 'vulture': '0.0000', 'warthog': '0.0000', 'waterbuck': '0.0000', 'wildcat': '0.0000', 'wilddog': '0.0000', 'wildebeest': '0.0000', 'zebra': '0.0001', 'zorilla': '0.0000'}","16408","cheetah"
"ASG000085p","count","1","0.9680","{'1': '0.9680', '10': '0.0000', '11-50': '0.0000', '2': '0.0288', '3': '0.0026', '4': '0.0003', '5': '0.0002', '51+': '0.0000', '6': '0.0001', '7': '0.0000', '8': '0.0000', '9': '0.0000'}","16408","cheetah"
"ASG000085p","standing","1","0.5013","{'0': '0.4987', '1': '0.5013'}","16408","cheetah"
"ASG000085p","resting","0","0.9799","{'0': '0.9799', '1': '0.0201'}","16408","cheetah"
"ASG000085p","moving","0","0.5152","{'0': '0.5152', '1': '0.4848'}","16408","cheetah"
"ASG000085p","eating","0","0.9963","{'0': '0.9963', '1': '0.0037'}","16408","cheetah"
"ASG000085p","interacting","0","0.9989","{'0': '0.9989', '1': '0.0011'}","16408","cheetah"
"ASG000085p","babies","0","0.9956","{'0': '0.9956', '1': '0.0044'}","16408","cheetah"
